regionsCode,regions,year,income
E12000005,West Midlands,2012,15407.24
E12000005,West Midlands,2013,15984.76
E12000005,West Midlands,2014,16567.24
E12000005,West Midlands,2015,17496.93
E12000005,West Midlands,2016,17820.1
E12000005,West Midlands,2017,18100.24
E12000005,West Midlands,2018,18668.07
E12000005,West Midlands,2019,19130.17
E12000005,West Midlands,2020,19185.24
E12000005,West Midlands,2021,19648.86
E12000006,East of England,1997,11321.29
E12000006,East of England,1998,11505.91
E12000006,East of England,1999,11971.62
E12000006,East of England,2000,12602.24
E12000006,East of England,2001,13176.82
E12000006,East of England,2002,13493.8
E12000006,East of England,2003,13753.47
E12000006,East of England,2004,14197.93
E12000006,East of England,2005,14714.27
E12000006,East of England,2006,15165.44
E12000006,East of England,2007,15807.96
E12000006,East of England,2008,16318.11
E12000006,East of England,2009,16735.09
E12000006,East of England,2010,16836.71
E12000006,East of England,2011,16963.38
E12000006,East of England,2012,17567.84
E12000006,East of England,2013,18194.33
E12000006,East of England,2014,18757.8
E12000006,East of England,2015,19846.49
E12000006,East of England,2016,20145.18
E12000006,East of England,2017,20724.69
E12000006,East of England,2018,21489.71
E12000006,East of England,2019,22088.2
E12000006,East of England,2020,21887.78
E12000006,East of England,2021,22694.98
E12000007,London,1997,13383.38
E12000007,London,1998,13799.34
E12000007,London,1999,14633.94
E12000007,London,2000,15662.44
E12000007,London,2001,16160.69
E12000007,London,2002,16350.28
E12000007,London,2003,17019.81
E12000007,London,2004,17938.59
E12000007,London,2005,18948.38
E12000007,London,2006,19955.16
E12000007,London,2007,21466.81
E12000007,London,2008,22192.34
E12000007,London,2009,22113.5
E12000007,London,2010,22279.47
E12000007,London,2011,22107.25
E12000007,London,2012,23520.47
E12000007,London,2013,24884.19
E12000007,London,2014,25982.41
E12000007,London,2015,27816.84
E12000007,London,2016,28317.78
E12000007,London,2017,28909.94
E12000007,London,2018,30566.44
E12000007,London,2019,31266.31
E12000007,London,2020,30761.38
E12000007,London,2021,32323.66
E12000008,South East,1997,12733.11
E12000008,South East,1998,12985.35
E12000008,South East,1999,13414.32
E12000008,South East,2000,14106.9
E12000008,South East,2001,14571.79
E12000008,South East,2002,14914.24
E12000008,South East,2003,15124.58
E12000008,South East,2004,15700.65
E12000008,South East,2005,16290.37
E12000008,South East,2006,17016.98
E12000008,South East,2007,17823.4
E12000008,South East,2008,18166.29
E12000008,South East,2009,18512.97
E12000008,South East,2010,18571.53
E12000008,South East,2011,18770.02
E12000008,South East,2012,19462.45
E12000008,South East,2013,20273.58
E12000008,South East,2014,20758.39
E12000008,South East,2015,21988.73
E12000008,South East,2016,22257.52
E12000008,South East,2017,22807.11
E12000008,South East,2018,23623.44
E12000008,South East,2019,24347.9
E12000008,South East,2020,23997.92
E12000008,South East,2021,24768.23
E12000009,South West,1997,11145.86
E12000009,South West,1998,11339
E12000009,South West,1999,11723.75
E12000009,South West,2000,12116.57
E12000009,South West,2001,12575.89
E12000009,South West,2002,12745.04
E12000009,South West,2003,13031.04
E12000009,South West,2004,13476.64
E12000009,South West,2005,14051.61
E12000009,South West,2006,14786.11
E12000009,South West,2007,15266.68
E12000009,South West,2008,15776.61
E12000009,South West,2009,16008.64
E12000009,South West,2010,16336.46
E12000009,South West,2011,16533.39
E12000009,South West,2012,16951.79
E12000009,South West,2013,17609.68
E12000009,South West,2014,18192.25
E12000009,South West,2015,19026
E12000009,South West,2016,19185.04
E12000009,South West,2017,19587.07
E12000009,South West,2018,20293
E12000009,South West,2019,20976.93
E12000009,South West,2020,20839.11
E12000009,South West,2021,21437.57
W92000004,Wales,1997,9269.68
W92000004,Wales,1998,9293.32
W92000004,Wales,1999,9703.18
W92000004,Wales,2000,10259.86
W92000004,Wales,2001,10666.68
W92000004,Wales,2002,10953.32
W92000004,Wales,2003,11369.32
W92000004,Wales,2004,11841.09
W92000004,Wales,2005,12158.55
W92000004,Wales,2006,12519.32
W92000004,Wales,2007,12905.5
W92000004,Wales,2008,13420.27
W92000004,Wales,2009,13426
W92000004,Wales,2010,13652.55
W92000004,Wales,2011,13885.05
W92000004,Wales,2012,14307.95
W92000004,Wales,2013,14640.09
W92000004,Wales,2014,15107.77
W92000004,Wales,2015,15610.86
W92000004,Wales,2016,15748.91
W92000004,Wales,2017,16264.86
W92000004,Wales,2018,16895.5
W92000004,Wales,2019,17315.5
W92000004,Wales,2020,17670.77
W92000004,Wales,2021,17981.95
