year,Industry,Value
Mar-97,Public admin & defence; compulsory social security1,1621000
Jun-97,Public admin & defence; compulsory social security1,1606000
Sep-97,Public admin & defence; compulsory social security1,1607000
Dec-97,Public admin & defence; compulsory social security1,1600000
Mar-98,Public admin & defence; compulsory social security1,1602000
Jun-98,Public admin & defence; compulsory social security1,1598000
Sep-98,Public admin & defence; compulsory social security1,1594000
Dec-98,Public admin & defence; compulsory social security1,1594000
Mar-99,Public admin & defence; compulsory social security1,1628000
Jun-99,Public admin & defence; compulsory social security1,1632000
Sep-99,Public admin & defence; compulsory social security1,1633000
Dec-99,Public admin & defence; compulsory social security1,1647000
Mar-00,Public admin & defence; compulsory social security1,1648000
Jun-00,Public admin & defence; compulsory social security1,1639000
Sep-00,Public admin & defence; compulsory social security1,1635000
Dec-00,Public admin & defence; compulsory social security1,1643000
Mar-01,Public admin & defence; compulsory social security1,1647000
Jun-01,Public admin & defence; compulsory social security1,1647000
Sep-01,Public admin & defence; compulsory social security1,1644000
Dec-01,Public admin & defence; compulsory social security1,1665000
Mar-02,Public admin & defence; compulsory social security1,1676000
Jun-02,Public admin & defence; compulsory social security1,1684000
Sep-02,Public admin & defence; compulsory social security1,1683000
Dec-02,Public admin & defence; compulsory social security1,1715000
Mar-03,Public admin & defence; compulsory social security1,1736000
Jun-03,Public admin & defence; compulsory social security1,1747000
Sep-03,Public admin & defence; compulsory social security1,1745000
Dec-03,Public admin & defence; compulsory social security1,1760000
Mar-04,Public admin & defence; compulsory social security1,1767000
Jun-04,Public admin & defence; compulsory social security1,1765000
Sep-04,Public admin & defence; compulsory social security1,1777000
Dec-04,Public admin & defence; compulsory social security1,1783000
Mar-05,Public admin & defence; compulsory social security1,1785000
Jun-05,Public admin & defence; compulsory social security1,1785000
Sep-05,Public admin & defence; compulsory social security1,1777000
Dec-05,Public admin & defence; compulsory social security1,1785000
Mar-06,Public admin & defence; compulsory social security1,1781000
Jun-06,Public admin & defence; compulsory social security1,1779000
Sep-06,Public admin & defence; compulsory social security1,1779000
Dec-06,Public admin & defence; compulsory social security1,1784000
Mar-07,Public admin & defence; compulsory social security1,1775000
Jun-07,Public admin & defence; compulsory social security1,1777000
Sep-07,Public admin & defence; compulsory social security1,1771000
Dec-07,Public admin & defence; compulsory social security1,1771000
Mar-08,Public admin & defence; compulsory social security1,1747000
Jun-08,Public admin & defence; compulsory social security1,1742000
Sep-08,Public admin & defence; compulsory social security1,1717000
Dec-08,Public admin & defence; compulsory social security1,1749000
Mar-09,Public admin & defence; compulsory social security1,1745000
Jun-09,Public admin & defence; compulsory social security1,1757000
Sep-09,Public admin & defence; compulsory social security1,1765000
Dec-09,Public admin & defence; compulsory social security1,1766000
Mar-10,Public admin & defence; compulsory social security1,1760000
Jun-10,Public admin & defence; compulsory social security1,1739000
Sep-10,Public admin & defence; compulsory social security1,1727000
Dec-10,Public admin & defence; compulsory social security1,1704000
Mar-11,Public admin & defence; compulsory social security1,1688000
Jun-11,Public admin & defence; compulsory social security1,1637000
Sep-11,Public admin & defence; compulsory social security1,1617000
Dec-11,Public admin & defence; compulsory social security1,1596000
Mar-12,Public admin & defence; compulsory social security1,1580000
Jun-12,Public admin & defence; compulsory social security1,1578000
Sep-12,Public admin & defence; compulsory social security1,1564000
Dec-12,Public admin & defence; compulsory social security1,1560000
Mar-13,Public admin & defence; compulsory social security1,1563000
Jun-13,Public admin & defence; compulsory social security1,1561000
Sep-13,Public admin & defence; compulsory social security1,1553000
Dec-13,Public admin & defence; compulsory social security1,1539000
Mar-14,Public admin & defence; compulsory social security1,1541000
Jun-14,Public admin & defence; compulsory social security1,1541000
Sep-14,Public admin & defence; compulsory social security1,1531000
Dec-14,Public admin & defence; compulsory social security1,1518000
Mar-15,Public admin & defence; compulsory social security1,1504000
Jun-15,Public admin & defence; compulsory social security1,1491000
Sep-15,Public admin & defence; compulsory social security1,1479000
Dec-15,Public admin & defence; compulsory social security1,1477000
Mar-16,Public admin & defence; compulsory social security1,1486000
Jun-16,Public admin & defence; compulsory social security1,1479000
Sep-16,Public admin & defence; compulsory social security1,1475000
Dec-16,Public admin & defence; compulsory social security1,1469000
Mar-17,Public admin & defence; compulsory social security1,1468000
Jun-17,Public admin & defence; compulsory social security1,1486000
Sep-17,Public admin & defence; compulsory social security1,1484000
Dec-17,Public admin & defence; compulsory social security1,1481000
Mar-18,Public admin & defence; compulsory social security1,1486000
Jun-18,Public admin & defence; compulsory social security1,1492000
Sep-18,Public admin & defence; compulsory social security1,1494000
Dec-18,Public admin & defence; compulsory social security1,1505000
Mar-19,Public admin & defence; compulsory social security1,1513000
Jun-19,Public admin & defence; compulsory social security1,1511000
Sep-19,Public admin & defence; compulsory social security1,1523000
Dec-19,Public admin & defence; compulsory social security1,1532000
Mar-20,Public admin & defence; compulsory social security1,1545000
Jun-20,Public admin & defence; compulsory social security1,1559000
Sep-20,Public admin & defence; compulsory social security1,1564000
Dec-20,Public admin & defence; compulsory social security1,1587000
Mar-21,Public admin & defence; compulsory social security1,1614000
Jun-21,Public admin & defence; compulsory social security1,1612000
Sep-21,Public admin & defence; compulsory social security1,1610000
Dec-21,Public admin & defence; compulsory social security1,1619000
Mar-97,Education,2066000
Jun-97,Education,2070000
Sep-97,Education,1987000
Dec-97,Education,2058000
Mar-98,Education,2077000
Jun-98,Education,2041000
Sep-98,Education,1996000
Dec-98,Education,2096000
Mar-99,Education,2124000
Jun-99,Education,2124000
Sep-99,Education,2116000
Dec-99,Education,2213000
Mar-00,Education,2233000
Jun-00,Education,2228000
Sep-00,Education,2222000
Dec-00,Education,2255000
Mar-01,Education,2255000
Jun-01,Education,2235000
Sep-01,Education,2199000
Dec-01,Education,2248000
Mar-02,Education,2273000
Jun-02,Education,2292000
Sep-02,Education,2296000
Dec-02,Education,2359000
Mar-03,Education,2385000
Jun-03,Education,2396000
Sep-03,Education,2381000
Dec-03,Education,2463000
Mar-04,Education,2490000
Jun-04,Education,2486000
Sep-04,Education,2455000
Dec-04,Education,2503000
Mar-05,Education,2520000
Jun-05,Education,2519000
Sep-05,Education,2518000
Dec-05,Education,2580000
Mar-06,Education,2603000
Jun-06,Education,2594000
Sep-06,Education,2554000
Dec-06,Education,2596000
Mar-07,Education,2603000
Jun-07,Education,2602000
Sep-07,Education,2555000
Dec-07,Education,2606000
Mar-08,Education,2619000
Jun-08,Education,2612000
Sep-08,Education,2586000
Dec-08,Education,2681000
Mar-09,Education,2751000
Jun-09,Education,2724000
Sep-09,Education,2698000
Dec-09,Education,2754000
Mar-10,Education,2773000
Jun-10,Education,2774000
Sep-10,Education,2734000
Dec-10,Education,2743000
Mar-11,Education,2787000
Jun-11,Education,2754000
Sep-11,Education,2731000
Dec-11,Education,2763000
Mar-12,Education,2822000
Jun-12,Education,2774000
Sep-12,Education,2749000
Dec-12,Education,2770000
Mar-13,Education,2803000
Jun-13,Education,2823000
Sep-13,Education,2821000
Dec-13,Education,2868000
Mar-14,Education,2893000
Jun-14,Education,2892000
Sep-14,Education,2859000
Dec-14,Education,2908000
Mar-15,Education,2950000
Jun-15,Education,2959000
Sep-15,Education,2931000
Dec-15,Education,2975000
Mar-16,Education,2974000
Jun-16,Education,2969000
Sep-16,Education,2934000
Dec-16,Education,2974000
Mar-17,Education,2955000
Jun-17,Education,2932000
Sep-17,Education,2904000
Dec-17,Education,2918000
Mar-18,Education,2953000
Jun-18,Education,2946000
Sep-18,Education,2911000
Dec-18,Education,2949000
Mar-19,Education,2967000
Jun-19,Education,2948000
Sep-19,Education,2925000
Dec-19,Education,2962000
Mar-20,Education,2981000
Jun-20,Education,2987000
Sep-20,Education,2945000
Dec-20,Education,2951000
Mar-21,Education,2957000
Jun-21,Education,2953000
Sep-21,Education,2928000
Dec-21,Education,2984000
Mar-97,Human health & social work activities,2933000
Jun-97,Human health & social work activities,2936000
Sep-97,Human health & social work activities,2947000
Dec-97,Human health & social work activities,2927000
Mar-98,Human health & social work activities,2926000
Jun-98,Human health & social work activities,2915000
Sep-98,Human health & social work activities,2905000
Dec-98,Human health & social work activities,2949000
Mar-99,Human health & social work activities,2967000
Jun-99,Human health & social work activities,2932000
Sep-99,Human health & social work activities,2978000
Dec-99,Human health & social work activities,2986000
Mar-00,Human health & social work activities,2981000
Jun-00,Human health & social work activities,3038000
Sep-00,Human health & social work activities,3106000
Dec-00,Human health & social work activities,3071000
Mar-01,Human health & social work activities,3074000
Jun-01,Human health & social work activities,3118000
Sep-01,Human health & social work activities,3169000
Dec-01,Human health & social work activities,3173000
Mar-02,Human health & social work activities,3169000
Jun-02,Human health & social work activities,3192000
Sep-02,Human health & social work activities,3245000
Dec-02,Human health & social work activities,3235000
Mar-03,Human health & social work activities,3256000
Jun-03,Human health & social work activities,3293000
Sep-03,Human health & social work activities,3337000
Dec-03,Human health & social work activities,3343000
Mar-04,Human health & social work activities,3374000
Jun-04,Human health & social work activities,3399000
Sep-04,Human health & social work activities,3450000
Dec-04,Human health & social work activities,3469000
Mar-05,Human health & social work activities,3500000
Jun-05,Human health & social work activities,3529000
Sep-05,Human health & social work activities,3550000
Dec-05,Human health & social work activities,3566000
Mar-06,Human health & social work activities,3592000
Jun-06,Human health & social work activities,3615000
Sep-06,Human health & social work activities,3627000
Dec-06,Human health & social work activities,3622000
Mar-07,Human health & social work activities,3632000
Jun-07,Human health & social work activities,3603000
Sep-07,Human health & social work activities,3616000
Dec-07,Human health & social work activities,3623000
Mar-08,Human health & social work activities,3655000
Jun-08,Human health & social work activities,3693000
Sep-08,Human health & social work activities,3731000
Dec-08,Human health & social work activities,3757000
Mar-09,Human health & social work activities,3759000
Jun-09,Human health & social work activities,3798000
Sep-09,Human health & social work activities,3860000
Dec-09,Human health & social work activities,3862000
Mar-10,Human health & social work activities,3936000
Jun-10,Human health & social work activities,3938000
Sep-10,Human health & social work activities,3951000
Dec-10,Human health & social work activities,4005000
Mar-11,Human health & social work activities,4014000
Jun-11,Human health & social work activities,3994000
Sep-11,Human health & social work activities,3999000
Dec-11,Human health & social work activities,3996000
Mar-12,Human health & social work activities,4046000
Jun-12,Human health & social work activities,3999000
Sep-12,Human health & social work activities,4019000
Dec-12,Human health & social work activities,4047000
Mar-13,Human health & social work activities,4129000
Jun-13,Human health & social work activities,4100000
Sep-13,Human health & social work activities,4114000
Dec-13,Human health & social work activities,4125000
Mar-14,Human health & social work activities,4204000
Jun-14,Human health & social work activities,4205000
Sep-14,Human health & social work activities,4222000
Dec-14,Human health & social work activities,4215000
Mar-15,Human health & social work activities,4231000
Jun-15,Human health & social work activities,4244000
Sep-15,Human health & social work activities,4221000
Dec-15,Human health & social work activities,4224000
Mar-16,Human health & social work activities,4292000
Jun-16,Human health & social work activities,4288000
Sep-16,Human health & social work activities,4270000
Dec-16,Human health & social work activities,4276000
Mar-17,Human health & social work activities,4342000
Jun-17,Human health & social work activities,4363000
Sep-17,Human health & social work activities,4328000
Dec-17,Human health & social work activities,4356000
Mar-18,Human health & social work activities,4361000
Jun-18,Human health & social work activities,4335000
Sep-18,Human health & social work activities,4348000
Dec-18,Human health & social work activities,4343000
Mar-19,Human health & social work activities,4383000
Jun-19,Human health & social work activities,4415000
Sep-19,Human health & social work activities,4425000
Dec-19,Human health & social work activities,4433000
Mar-20,Human health & social work activities,4456000
Jun-20,Human health & social work activities,4493000
Sep-20,Human health & social work activities,4456000
Dec-20,Human health & social work activities,4494000
Mar-21,Human health & social work activities,4567000
Jun-21,Human health & social work activities,4584000
Sep-21,Human health & social work activities,4585000
Dec-21,Human health & social work activities,4572000
Mar-97,"Arts, entertainment & recreation",659000
Jun-97,"Arts, entertainment & recreation",686000
Sep-97,"Arts, entertainment & recreation",695000
Dec-97,"Arts, entertainment & recreation",683000
Mar-98,"Arts, entertainment & recreation",659000
Jun-98,"Arts, entertainment & recreation",649000
Sep-98,"Arts, entertainment & recreation",663000
Dec-98,"Arts, entertainment & recreation",667000
Mar-99,"Arts, entertainment & recreation",682000
Jun-99,"Arts, entertainment & recreation",716000
Sep-99,"Arts, entertainment & recreation",741000
Dec-99,"Arts, entertainment & recreation",733000
Mar-00,"Arts, entertainment & recreation",738000
Jun-00,"Arts, entertainment & recreation",746000
Sep-00,"Arts, entertainment & recreation",744000
Dec-00,"Arts, entertainment & recreation",739000
Mar-01,"Arts, entertainment & recreation",745000
Jun-01,"Arts, entertainment & recreation",755000
Sep-01,"Arts, entertainment & recreation",780000
Dec-01,"Arts, entertainment & recreation",770000
Mar-02,"Arts, entertainment & recreation",773000
Jun-02,"Arts, entertainment & recreation",798000
Sep-02,"Arts, entertainment & recreation",799000
Dec-02,"Arts, entertainment & recreation",774000
Mar-03,"Arts, entertainment & recreation",783000
Jun-03,"Arts, entertainment & recreation",798000
Sep-03,"Arts, entertainment & recreation",817000
Dec-03,"Arts, entertainment & recreation",814000
Mar-04,"Arts, entertainment & recreation",811000
Jun-04,"Arts, entertainment & recreation",829000
Sep-04,"Arts, entertainment & recreation",814000
Dec-04,"Arts, entertainment & recreation",809000
Mar-05,"Arts, entertainment & recreation",815000
Jun-05,"Arts, entertainment & recreation",856000
Sep-05,"Arts, entertainment & recreation",855000
Dec-05,"Arts, entertainment & recreation",850000
Mar-06,"Arts, entertainment & recreation",852000
Jun-06,"Arts, entertainment & recreation",888000
Sep-06,"Arts, entertainment & recreation",905000
Dec-06,"Arts, entertainment & recreation",865000
Mar-07,"Arts, entertainment & recreation",851000
Jun-07,"Arts, entertainment & recreation",871000
Sep-07,"Arts, entertainment & recreation",877000
Dec-07,"Arts, entertainment & recreation",857000
Mar-08,"Arts, entertainment & recreation",872000
Jun-08,"Arts, entertainment & recreation",903000
Sep-08,"Arts, entertainment & recreation",894000
Dec-08,"Arts, entertainment & recreation",885000
Mar-09,"Arts, entertainment & recreation",835000
Jun-09,"Arts, entertainment & recreation",849000
Sep-09,"Arts, entertainment & recreation",846000
Dec-09,"Arts, entertainment & recreation",811000
Mar-10,"Arts, entertainment & recreation",838000
Jun-10,"Arts, entertainment & recreation",862000
Sep-10,"Arts, entertainment & recreation",884000
Dec-10,"Arts, entertainment & recreation",876000
Mar-11,"Arts, entertainment & recreation",874000
Jun-11,"Arts, entertainment & recreation",878000
Sep-11,"Arts, entertainment & recreation",882000
Dec-11,"Arts, entertainment & recreation",872000
Mar-12,"Arts, entertainment & recreation",901000
Jun-12,"Arts, entertainment & recreation",902000
Sep-12,"Arts, entertainment & recreation",918000
Dec-12,"Arts, entertainment & recreation",891000
Mar-13,"Arts, entertainment & recreation",901000
Jun-13,"Arts, entertainment & recreation",914000
Sep-13,"Arts, entertainment & recreation",920000
Dec-13,"Arts, entertainment & recreation",911000
Mar-14,"Arts, entertainment & recreation",943000
Jun-14,"Arts, entertainment & recreation",951000
Sep-14,"Arts, entertainment & recreation",975000
Dec-14,"Arts, entertainment & recreation",935000
Mar-15,"Arts, entertainment & recreation",954000
Jun-15,"Arts, entertainment & recreation",993000
Sep-15,"Arts, entertainment & recreation",988000
Dec-15,"Arts, entertainment & recreation",973000
Mar-16,"Arts, entertainment & recreation",963000
Jun-16,"Arts, entertainment & recreation",968000
Sep-16,"Arts, entertainment & recreation",1014000
Dec-16,"Arts, entertainment & recreation",1016000
Mar-17,"Arts, entertainment & recreation",1012000
Jun-17,"Arts, entertainment & recreation",992000
Sep-17,"Arts, entertainment & recreation",1048000
Dec-17,"Arts, entertainment & recreation",1009000
Mar-18,"Arts, entertainment & recreation",1004000
Jun-18,"Arts, entertainment & recreation",1009000
Sep-18,"Arts, entertainment & recreation",1007000
Dec-18,"Arts, entertainment & recreation",1010000
Mar-19,"Arts, entertainment & recreation",1032000
Jun-19,"Arts, entertainment & recreation",1032000
Sep-19,"Arts, entertainment & recreation",1048000
Dec-19,"Arts, entertainment & recreation",1043000
Mar-20,"Arts, entertainment & recreation",1038000
Jun-20,"Arts, entertainment & recreation",1002000
Sep-20,"Arts, entertainment & recreation",941000
Dec-20,"Arts, entertainment & recreation",903000
Mar-21,"Arts, entertainment & recreation",879000
Jun-21,"Arts, entertainment & recreation",950000
Sep-21,"Arts, entertainment & recreation",972000
Dec-21,"Arts, entertainment & recreation",970000
