code,cx,cy
E12000001,406373.1539526504,568876.6043233972
E12000002,352960.5052,461536.2051
E12000003,447770.7542187091,454521.5652032963
E12000004,479765.65390188433,337139.08003495267
E12000005,381408.86318375857,286684.90945241903
E12000006,573089.6687204316,264272.9085606098
E12000007,530813.4104302553,180106.88251880676
E12000008,502802.1962601043,156195.5971508409
E12000009,319843.73766615393,122601.65256339403
W92000004,281724.74180894694,267852.45306876063
